Atoll.Island,Day,Loc,Site,Rep,Chla..ug.L
Lisianski Island,1,1,LIS_Court,1,0.3776
Lisianski Island,1,1,LIS_Court,2,0.4128
Lisianski Island,1,1,LIS_Court,3,0.4016
Lisianski Island,1,2,LIS_4067,4,0.240390244
Lisianski Island,1,2,LIS_4067,5,0.2736
Lisianski Island,1,2,LIS_4067,6,0.2768
Lisianski Island,1,3,LIS_4008-2014,7,0.3312
Lisianski Island,1,3,LIS_4008-2014,8,0.195121951
Lisianski Island,1,3,LIS_4008-2014,9,0.3088
Lisianski Island,2,4,LIS_R10,10,0.237268293
Lisianski Island,2,4,LIS_R10,11,0.184195122
Lisianski Island,2,4,LIS_R10,12,0.248195122
Lisianski Island,2,5,LIS_R7,13,0.3936
Lisianski Island,2,5,LIS_R7,14,0.343414634
Lisianski Island,2,5,LIS_R7,15,0.3568
Lisianski Island,2,6,LIS_CW1,16,0.4272
Lisianski Island,2,6,LIS_CW1,17,0.3856
Lisianski Island,2,6,LIS_CW1,18,0.4192
Lisianski Island,3,7,LIS_10,19,0.1888
Lisianski Island,3,7,LIS_10,20,0.2352
Lisianski Island,3,7,LIS_10,21,0.2304
Lisianski Island,3,8,LIS_2014-2014,22,0.240390244
Lisianski Island,3,8,LIS_2014-2014,23,0.328
Lisianski Island,3,8,LIS_2014-2014,24,0.2768
Lisianski Island,3,9,LIS_4019-2014,25,0.2288
Lisianski Island,3,9,LIS_4019-2014,26,0.4528
Lisianski Island,3,9,LIS_4019-2014,27,0.4704
Pearl and Hermes Atoll,1,2,PHA_TC26,1,0.09968
Pearl and Hermes Atoll,1,2,PHA_TC26,2,0.103492683
Pearl and Hermes Atoll,1,2,PHA_TC26,3,0.10176
Pearl and Hermes Atoll,3,6,PHA_32,4,0.040585366
Pearl and Hermes Atoll,3,6,PHA_32,5,0.043863415
Pearl and Hermes Atoll,3,6,PHA_32,6,0.07555122
Pearl and Hermes Atoll,3,7,PHA_CW-1,7,0.058536585
Pearl and Hermes Atoll,3,7,PHA_CW-1,8,0.057131707
Pearl and Hermes Atoll,3,7,PHA_CW-1,9,0.049795122
Pearl and Hermes Atoll,4,8,PHA_4054,10,0.06048
Pearl and Hermes Atoll,4,8,PHA_4054,11,0.0624
Pearl and Hermes Atoll,4,8,PHA_4054,12,0.06736
Pearl and Hermes Atoll,4,9,PHA_CW-2,13,0.11872
Pearl and Hermes Atoll,4,9,PHA_CW-2,14,0.096
Pearl and Hermes Atoll,4,9,PHA_CW-2,15,0.1432
Pearl and Hermes Atoll,4,10,PHA_CW-3,16,0.095687805
Pearl and Hermes Atoll,4,10,PHA_CW-3,17,0.086790244
Pearl and Hermes Atoll,4,10,PHA_CW-3,18,0.10432
Midway Atoll,1,1,MID_H21,1,0.3584
Midway Atoll,1,1,MID_H21,2,0.2384
Midway Atoll,1,1,MID_H21,3,0.3824
Midway Atoll,1,2,MID_R23-21,4,0.2032
Midway Atoll,1,2,MID_R23-21,5,0.2096
Midway Atoll,1,2,MID_R23-21,6,0.2448
Midway Atoll,1,3,MID_TC1,7,0.2448
Midway Atoll,1,3,MID_TC1,8,0.2752
Midway Atoll,1,3,MID_TC1,9,0.2288
Midway Atoll,2,4,MID_CW-4,10,0.13632
Midway Atoll,2,4,MID_CW-4,11,0.1088
Midway Atoll,2,4,MID_CW-4,12,0.15648
Kure Atoll,1,1,KUR_R36,1,0.126439024
Kure Atoll,1,1,KUR_R36,2,0.1288
Kure Atoll,1,1,KUR_R36,3,0.17795122
Kure Atoll,1,2,KUR_14,4,0.1696
Kure Atoll,1,2,KUR_14,5,0.159219512
Kure Atoll,1,2,KUR_14,6,0.1856
Kure Atoll,1,3,KUR_TC14,7,0.1256
Kure Atoll,1,3,KUR_TC14,8,0.12912
Kure Atoll,1,3,KUR_TC14,9,0.13824
Kure Atoll,2,4,KUR_TC17,10,0.14592
Kure Atoll,2,4,KUR_TC17,11,0.14595122
Kure Atoll,2,4,KUR_TC17,12,0.12368
