* Block Type = 96well
* Chemistry = TAQMAN
* Experiment File Name = E:\Wall_PMNM_ACD_plate15.eds
* Experiment Run End Time = Not Started
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	HIGHSD	NOAMP	EXPFAIL
G11	PMNM_1	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						true	0.01	true	3	39		N	Y	Y
G11	PMNM_1	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.01	true	15	22		N	Y	Y
G12	PMNM_1	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						true	0.01	true	3	39		N	Y	Y
G12	PMNM_1	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.01	true	15	22		N	Y	Y
H9	PMNM_171	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						true	0.01	true	3	39		N	Y	Y
H9	PMNM_171	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.01	true	15	22		N	Y	Y
H10	PMNM_171	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						true	0.01	true	3	39		N	Y	Y
H10	PMNM_171	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.01	true	15	22		N	Y	Y
H11																		N	N	N
H12																		N	N	N
