A* Block Type = 96well
* Chemistry = TAQMAN
* Experiment File Name = D:\Kelly_PMNM_plateA6.eds
* Experiment Run End Time = Not Started
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	NOAMP
D6	PMNM_172	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
D7	PMNM_182	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
D8	PMNM_182	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
D9	PMNM_192	A	UNKNOWN	FAM	NFQ-MGB	39.7843	39.7843					false	0.01	false	16	22		N
D10	PMNM_192	A	UNKNOWN	FAM	NFQ-MGB	Undetermined	39.7843					false	0.01	false	16	22		N
D11	PMNM_114	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
D12	PMNM_114	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
E1	PMNM_124	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
E2	PMNM_124	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
E3	PMNM_134	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
E4	PMNM_134	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
E5	PMNM_212	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
E6	PMNM_212	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
E7	PMNM_222	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
E8	PMNM_222	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
E9	PMNM_232	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
E10	PMNM_232	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
E11	PMNM_242	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
E12	PMNM_242	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
F1	PMNM_252	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
F2	PMNM_252	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
F3	PMNM_262	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
F4	PMNM_262	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
F5	PMNM_272	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
F6	PMNM_272	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
F7	PMNM_282	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
F8	PMNM_282	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
F9	PMNM_292	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
F10	PMNM_292	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
F11	PMNM_214	A	UNKNOWN	FAM	NFQ-MGB	Undetermined	37.584					false	0.01	false	16	22		N
F12	PMNM_214	A	UNKNOWN	FAM	NFQ-MGB	37.584	37.584					false	0.01	false	16	22		N
G1	PMNM_224	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
G2	PMNM_224	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
G3	PMNM_312	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
G4	PMNM_312	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
G5	PMNM_322	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
G6	PMNM_322	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
G7	PMNM_332	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
G8	PMNM_332	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
G9	PMNM_342	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
G10	PMNM_342	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
G11	PMNM_352	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
G12	PMNM_352	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
H1	blank																	N
H2	PMNM_362	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
H3	PMNM_362	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N
H4	PMNM_372	A	UNKNOWN	FAM	NFQ-MGB	Undetermined	1.8495					false	0.01	false	16	22		N
H5	PMNM_372	A	UNKNOWN	FAM	NFQ-MGB	1.8495	1.8495					false	0.01	false	16	22		N
H6	PMNM_382	A	UNKNOWN	FAM	NFQ-MGB	Undetermined	31.3874					false	0.01	false	16	22		Y
H7	PMNM_382	A	UNKNOWN	FAM	NFQ-MGB	31.3874	31.3874					false	0.01	false	16	22		Y
H8	PMNM_324	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		Y
H9	PMNM_324	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		Y
H10	blank																	N
H11	blank																	N
H12	blank																	N
