* Block Type = 96well
* Chemistry = TAQMAN
* Experiment File Name = D:\Kelly_PMNM_plateA10.eds
* Experiment Run End Time = Not Started
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	BADROX	HIGHSD	NOAMP
G4	PMNM_349	A	UNKNOWN	FAM	NFQ-MGB	30.3439	33.1898	4.0247				false	0.01	false	16	22		N	Y	N
G5	blank																	N	N	N
G6	PMNM_214	A	UNKNOWN	FAM	NFQ-MGB	32.1742	31.9165	0.3644				false	0.01	false	16	22		N	N	N
G7	blank																	N	N	N
G8	PMNM_375	A	UNKNOWN	FAM	NFQ-MGB	31.6244	32.7861	0.8106				false	0.01	false	16	22		N	Y	N
G9	blank																	N	N	N
G10	PMNM_316	A	UNKNOWN	FAM	NFQ-MGB	24.5802	30.8761	8.9037				false	0.01	false	16	22		Y	Y	N
G11	ddH2O	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N	N	N
G12	blank																	N	N	N
H1	blank																	N	N	N
H2	PMNM_357	A	UNKNOWN	FAM	NFQ-MGB	33.5805	31.2334	2.9439				false	0.01	false	16	22		N	Y	N
H3	blank																	N	N	N
H4	PMNM_349	A	UNKNOWN	FAM	NFQ-MGB	36.0357	33.1898	4.0247				false	0.01	false	16	22		N	Y	Y
H5	blank																	N	N	N
H6	PMNM_214	A	UNKNOWN	FAM	NFQ-MGB	31.6589	31.9165	0.3644				false	0.01	false	16	22		N	N	Y
H7	blank																	N	N	N
H8	PMNM_375	A	UNKNOWN	FAM	NFQ-MGB	33.4543	32.7861	0.8106				false	0.01	false	16	22		N	Y	N
H9	blank																	N	N	N
H10	PMNM_316	A	UNKNOWN	FAM	NFQ-MGB	37.1719	30.8761	8.9037				false	0.01	false	16	22		N	Y	N
H11	ddH2O	A	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	false	16	22		N	N	Y
H12	blank																	N	N	N
